path,folder,extension,bytes,rows,modified,chipboard_id,start_time_unix,start_time_string,acq_time_s,hv_v,threshold_kev,pixet_version,mpx_type,interface
data M07/sync__M07-W0044_r002.t3pa,data M07,.t3pa,17356471,551514,2021-03-03T14:02:24,M07-W0044,1614769268.984112,Wed Mar  3 12:01:08.984111 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
data M07/sync__M07-W0044_r000.t3pa,data M07,.t3pa,46055320,1413287,2021-03-03T14:01:02,M07-W0044,1614769143.593419,Wed Mar  3 11:59:03.593418 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
data M07/sync__M07-W0044_r001.t3pa,data M07,.t3pa,53108436,1620995,2021-03-03T14:02:04,M07-W0044,1614769206.340381,Wed Mar  3 12:00:06.340381 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
data M07/sync__M07-W0044_r002.t3pa.info,data M07,.t3pa.info,944,,2021-03-03T14:02:08,M07-W0044,1614769268.984112,Wed Mar  3 12:01:08.984111 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
data M07/sync__M07-W0044_r001.t3pa.info,data M07,.t3pa.info,944,,2021-03-03T14:01:06,M07-W0044,1614769206.340381,Wed Mar  3 12:00:06.340381 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
data M07/sync__M07-W0044_r000.t3pa.info,data M07,.t3pa.info,944,,2021-03-03T14:00:02,M07-W0044,1614769143.593419,Wed Mar  3 11:59:03.593418 2021,60.0,100.0,3.004906,1.7.5,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028526.t3pa,13_tue_proton_daily_batch,.t3pa,792,28,2024-02-13T08:54:42,G07-W0050,1707800061.967,Tue Feb 13 05:54:21.967000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028646.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:34:56,G07-W0050,1707802494.054,Tue Feb 13 06:34:54.053999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028564.t3pa,13_tue_proton_daily_batch,.t3pa,2634,95,2024-02-13T09:07:34,G07-W0050,1707800832.953,Tue Feb 13 06:07:12.953000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028642.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:33:36,G07-W0050,1707802413.122,Tue Feb 13 06:33:33.121999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028673.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:44:02,G07-W0050,1707803041.374,Tue Feb 13 06:44:01.374000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028551.t3pa,13_tue_proton_daily_batch,.t3pa,2402,86,2024-02-13T09:03:08,G07-W0050,1707800568.795,Tue Feb 13 06:02:48.795000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028535.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:57:26,G07-W0050,1707800244.064,Tue Feb 13 05:57:24.063999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028647.t3pa,13_tue_proton_daily_batch,.t3pa,1916,69,2024-02-13T09:35:34,G07-W0050,1707802514.289,Tue Feb 13 06:35:14.289000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028641.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:33:16,G07-W0050,1707802392.874,Tue Feb 13 06:33:12.874000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028625.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:27:50,G07-W0050,1707802068.178,Tue Feb 13 06:27:48.177999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028693.t3pa,13_tue_proton_daily_batch,.t3pa,1115,40,2024-02-13T09:51:08,G07-W0050,1707803447.069,Tue Feb 13 06:50:47.069000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028532.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:56:26,G07-W0050,1707800183.365,Tue Feb 13 05:56:23.365000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028584.t3pa,13_tue_proton_daily_batch,.t3pa,861,31,2024-02-13T09:14:20,G07-W0050,1707801238.624,Tue Feb 13 06:13:58.624000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028695.t3pa,13_tue_proton_daily_batch,.t3pa,1675,60,2024-02-13T09:51:44,G07-W0050,1707803487.534,Tue Feb 13 06:51:27.533999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028610.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:22:46,G07-W0050,1707801764.684,Tue Feb 13 06:22:44.684000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028584.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:14:00,G07-W0050,1707801238.624,Tue Feb 13 06:13:58.624000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028525.t3pa,13_tue_proton_daily_batch,.t3pa,2821,102,2024-02-13T08:54:22,G07-W0050,1707800041.734,Tue Feb 13 05:54:01.733999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028562.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:06:36,G07-W0050,1707800792.487,Tue Feb 13 06:06:32.486999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028614.t3pa,13_tue_proton_daily_batch,.t3pa,729,26,2024-02-13T09:24:26,G07-W0050,1707801845.616,Tue Feb 13 06:24:05.615999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028470.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:35:28,G07-W0050,1707798927.046,Tue Feb 13 05:35:27.046000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028628.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:28:52,G07-W0050,1707802129.861,Tue Feb 13 06:28:49.861000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028602.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:20:06,G07-W0050,1707801602.82,Tue Feb 13 06:20:02.819999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028622.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:26:50,G07-W0050,1707802007.479,Tue Feb 13 06:26:47.479000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028624.t3pa,13_tue_proton_daily_batch,.t3pa,2830,103,2024-02-13T09:27:48,G07-W0050,1707802047.945,Tue Feb 13 06:27:27.944999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028490.t3pa,13_tue_proton_daily_batch,.t3pa,1010,36,2024-02-13T08:42:32,G07-W0050,1707799331.71,Tue Feb 13 05:42:11.710000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028559.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:05:34,G07-W0050,1707800731.783,Tue Feb 13 06:05:31.782999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028561.t3pa,13_tue_proton_daily_batch,.t3pa,1319,47,2024-02-13T09:06:32,G07-W0050,1707800772.252,Tue Feb 13 06:06:12.252000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028495.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:43:54,G07-W0050,1707799433.299,Tue Feb 13 05:43:53.299000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028677.t3pa,13_tue_proton_daily_batch,.t3pa,460,16,2024-02-13T09:45:42,G07-W0050,1707803122.306,Tue Feb 13 06:45:22.305999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028579.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:12:18,G07-W0050,1707801137.454,Tue Feb 13 06:12:17.453999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028559.t3pa,13_tue_proton_daily_batch,.t3pa,2913,106,2024-02-13T09:05:52,G07-W0050,1707800731.783,Tue Feb 13 06:05:31.782999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028481.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:39:12,G07-W0050,1707799149.608,Tue Feb 13 05:39:09.608000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028593.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:17:02,G07-W0050,1707801420.722,Tue Feb 13 06:17:00.721999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
