source_path,shard,particle_id,n_hits,rank_in_file,time_span_ticks,time_span_ns,x_min,x_max,y_min,y_max,energy_sum,start,end,rank,image,face_components_fine,corner_components_fine
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,35582,1661,1,85265.75,2131643.75,0,207,0,13,4331.19970703125,1346966,1348627,1,docs/assets/native_grid_dbscan_fine_sample_v001/largest_01_tot_toa__r0000000028_p35582.png,1394,676
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,5231,1572,2,16385.5625,409639.0625,0,183,87,109,4078.57958984375,174565,176137,2,docs/assets/native_grid_dbscan_fine_sample_v001/largest_02_tot_toa__r0000000028_p5231.png,1273,476
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,13953,1531,1,44662.25,1116556.25,0,255,0,21,4210.6337890625,465789,467320,3,docs/assets/native_grid_dbscan_fine_sample_v001/largest_03_tot_toa__r0000000052_p13953.png,1216,578
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,9391,1485,3,16385.9375,409648.4375,0,203,116,134,3989.251220703125,333348,334833,4,docs/assets/native_grid_dbscan_fine_sample_v001/largest_04_tot_toa__r0000000028_p9391.png,1170,497
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,25330,1386,2,16409.4375,410235.9375,0,202,198,240,4236.27001953125,888047,889433,5,docs/assets/native_grid_dbscan_fine_sample_v001/largest_05_tot_toa__r0000000052_p25330.png,1273,1059
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,33102,1383,3,19963.3125,499082.8125,0,162,104,127,3595.7080078125,1186650,1188033,6,docs/assets/native_grid_dbscan_fine_sample_v001/largest_06_tot_toa__r0000000052_p33102.png,1140,564
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,57008,1382,4,16385.8125,409645.3125,0,243,208,223,3948.052001953125,2098916,2100298,7,docs/assets/native_grid_dbscan_fine_sample_v001/largest_07_tot_toa__r0000000052_p57008.png,1109,515
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,44712,1333,5,16386.5625,409664.0625,0,219,6,35,3737.36279296875,1635913,1637246,8,docs/assets/native_grid_dbscan_fine_sample_v001/largest_08_tot_toa__r0000000052_p44712.png,1084,544
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,24463,1270,4,16811.125,420278.125,0,211,147,166,3555.17919921875,922594,923864,9,docs/assets/native_grid_dbscan_fine_sample_v001/largest_09_tot_toa__r0000000028_p24463.png,1043,556
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,30447,1250,5,78883.875,1972096.875,16,99,129,164,3465.069580078125,1153655,1154905,10,docs/assets/native_grid_dbscan_fine_sample_v001/largest_10_tot_toa__r0000000028_p30447.png,1138,871
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,46029,1225,6,51632.4375,1290810.9375,52,248,187,216,3453.911376953125,1734349,1735574,11,docs/assets/native_grid_dbscan_fine_sample_v001/largest_11_tot_toa__r0000000028_p46029.png,1007,580
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,3011,1220,7,12274.9375,306873.4375,0,210,0,15,3403.740234375,91708,92928,12,docs/assets/native_grid_dbscan_fine_sample_v001/largest_12_tot_toa__r0000000028_p3011.png,959,338
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000028.particles.npz,9687,1196,8,86976.3125,2174407.8125,40,125,114,135,3270.09130859375,347129,348325,13,docs/assets/native_grid_dbscan_fine_sample_v001/largest_13_tot_toa__r0000000028_p9687.png,1101,856
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,29338,1144,6,42544.9375,1063623.4375,0,255,126,137,3424.99853515625,1039326,1040470,14,docs/assets/native_grid_dbscan_fine_sample_v001/largest_14_tot_toa__r0000000052_p29338.png,890,378
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,61499,1124,7,44187.0,1104675.0,8,161,30,58,3209.395263671875,2266808,2267932,15,docs/assets/native_grid_dbscan_fine_sample_v001/largest_15_tot_toa__r0000000052_p61499.png,960,545
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/F08/tot_toa__r0000000052.particles.npz,15671,1093,8,16385.5625,409639.0625,0,133,190,242,2830.00244140625,528555,529648,16,docs/assets/native_grid_dbscan_fine_sample_v001/largest_16_tot_toa__r0000000052_p15671.png,898,387
data M07/sync__M07-W0044_r000.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/data M07/sync__M07-W0044_r000.particles.npz,63912,106,1,3.9375,98.4375,175,236,173,188,382.0416564941406,296500,296606,17,docs/assets/native_grid_dbscan_fine_sample_v001/largest_17_sync__M07-W0044_r000_p63912.png,95,76
data M07/sync__M07-W0044_r000.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles/data M07/sync__M07-W0044_r000.particles.npz,40544,76,2,8.625,215.625,150,159,47,102,282.2171325683594,187747,187823,18,docs/assets/native_grid_dbscan_fine_sample_v001/largest_18_sync__M07-W0044_r000_p40544.png,72,61
