rank,z_start,z_end,start_s,span_ns,plot_time_bin_factor,plotted_bin_ns,hits,occupied_voxels,particles,noise_fraction,image
1,10475310080,10475312640,16.367672000000002,4000.0,10,15.625,610,610,63,0.24262295081967214,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_01_z10475310080_10475312640_cubes.png
2,8109519360,8109521920,12.671124,4000.0,10,15.625,210,210,32,0.3238095238095238,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_02_z8109519360_8109521920_cubes.png
3,7264578560,7264581120,11.350904,4000.0,10,15.625,307,307,28,0.247557003257329,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_03_z7264578560_7264581120_cubes.png
4,12492666880,12492669440,19.519792000000002,4000.0,10,15.625,151,151,23,0.4370860927152318,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_04_z12492666880_12492669440_cubes.png
5,7425679360,7425681920,11.602624,4000.0,10,15.625,110,110,23,0.32727272727272727,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_05_z7425679360_7425681920_cubes.png
6,11538222080,11538224640,18.028472,4000.0,10,15.625,127,127,21,0.25196850393700787,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_06_z11538222080_11538224640_cubes.png
7,8738252800,8738255360,13.65352,4000.0,10,15.625,140,140,20,0.3,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_07_z8738252800_8738255360_cubes.png
8,7757329920,7757332480,12.120828000000001,4000.0,10,15.625,111,111,20,0.38738738738738737,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_08_z7757329920_7757332480_cubes.png
9,11262773760,11262776320,17.598084,4000.0,10,15.625,168,168,18,0.3392857142857143,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_09_z11262773760_11262776320_cubes.png
10,8264033280,8264035840,12.912552000000002,4000.0,10,15.625,147,147,18,0.14285714285714285,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_10_z8264033280_8264035840_cubes.png
11,12066849280,12066851840,18.854452000000002,4000.0,10,15.625,145,145,18,0.3310344827586207,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_11_z12066849280_12066851840_cubes.png
12,8417008640,8417011200,13.151576,4000.0,10,15.625,139,139,18,0.23741007194244604,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333_many_particles_10x_time_fixed_z/whole_file_window_12_z8417008640_8417011200_cubes.png
