rank,z_start,z_end,start_s,span_ns,hits,occupied_voxels,particles,noise_fraction,image
1,745949760,745949792,1.1655465,50.0,1524,1524,140,0.18766404199475065,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_01_z745949760_745949792_cubes.png
2,3931353184,3931353216,6.14273935,50.0,1130,1130,113,0.15132743362831858,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_02_z3931353184_3931353216_cubes.png
3,4833746752,4833746784,7.5527293,50.0,1046,1046,106,0.14531548757170173,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_03_z4833746752_4833746784_cubes.png
4,4492237632,4492237664,7.0191213,50.0,1033,1033,107,0.1665053242981607,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_04_z4492237632_4492237664_cubes.png
5,1157180256,1157180288,1.80809415,50.0,1028,1028,116,0.10992217898832685,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_05_z1157180256_1157180288_cubes.png
6,701884512,701884544,1.09669455,50.0,964,964,129,0.1950207468879668,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_06_z701884512_701884544_cubes.png
7,531268096,531268128,0.8301064,50.0,956,956,92,0.20815899581589958,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_07_z531268096_531268128_cubes.png
8,3150242528,3150242560,4.92225395,50.0,767,767,88,0.20208604954367665,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_08_z3150242528_3150242560_cubes.png
9,4997007104,4997007136,7.807823600000001,50.0,740,740,95,0.19864864864864865,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_09_z4997007104_4997007136_cubes.png
10,5306903136,5306903168,8.292036150000001,50.0,731,731,79,0.16826265389876882,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_10_z5306903136_5306903168_cubes.png
11,5353596288,5353596320,8.3649942,50.0,730,730,80,0.16301369863013698,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_11_z5353596288_5353596320_cubes.png
12,2758405664,2758405696,4.31000885,50.0,721,721,119,0.29403606102635227,docs/assets/native_grid_dbscan_fine_voxel_like_whole_file_F08_0028/whole_file_window_12_z2758405664_2758405696_cubes.png
