rank,source_path,particle_id,n_hits,view_n_hits,sample_fraction,energy_sum,time_span,decoded_points,latent_dim,reconstruction_chamfer_xyte_feature,image,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15
1,F08/tot_toa__r0000000028.t3pa,8867,1523,512,0.3361785948785292,4008.833984375,2.0,512,16,0.2786945700645447,docs/assets/phase2_reconstruction_focus_v001/particle_01_p008867_original_decoded.png,-0.06411589682102203,-0.10021518170833588,-0.2796715199947357,-0.3697824776172638,-0.5492104291915894,0.24871298670768738,0.3778128921985626,-0.2845415771007538,0.05502438172698021,-0.11080598831176758,0.011893321759998798,0.08301543444395065,0.18672683835029602,-0.10950372368097305,0.0333675816655159,-0.3367253541946411
2,F08/tot_toa__r0000000028.t3pa,16244,1482,512,0.3454790823211875,3980.509765625,3.0,512,16,0.3411039113998413,docs/assets/phase2_reconstruction_focus_v001/particle_02_p016244_original_decoded.png,0.10832759737968445,-0.19969405233860016,-0.029524464160203934,-0.16466212272644043,-0.6005881428718567,-0.004526019562035799,0.22366061806678772,-0.30853867530822754,0.10662779211997986,-0.1588307023048401,0.14659549295902252,0.0460432767868042,0.3229832351207733,-0.03698086738586426,0.297639399766922,-0.399966835975647
3,F08/tot_toa__r0000000052.t3pa,22538,1386,512,0.3694083694083694,3953.91552734375,3.0,512,16,0.5385108590126038,docs/assets/phase2_reconstruction_focus_v001/particle_03_p022538_original_decoded.png,0.157403364777565,-0.1382691115140915,-0.038087859749794006,-0.17663352191448212,-0.5681477189064026,0.11898385733366013,0.1705908626317978,-0.2743540108203888,0.09139236807823181,-0.2359243482351303,0.24546682834625244,0.008736390620470047,0.400858610868454,-0.04313720390200615,0.2885081171989441,-0.33467426896095276
4,F08/tot_toa__r0000000028.t3pa,60858,1344,512,0.3809523809523809,3758.3388671875,3.0,512,16,0.5165030360221863,docs/assets/phase2_reconstruction_focus_v001/particle_04_p060858_original_decoded.png,-0.01684393361210823,-0.17619292438030243,-0.16990149021148682,-0.14779908955097198,-0.5299723744392395,0.1462700068950653,0.32842913269996643,-0.34188389778137207,0.12894967198371887,-0.17312335968017578,0.14622443914413452,0.025671496987342834,0.33051520586013794,-0.07914362847805023,0.2110675424337387,-0.40280455350875854
5,F08/tot_toa__r0000000052.t3pa,95007,1233,512,0.4152473641524736,3693.748291015625,3.0,512,16,0.4219784140586853,docs/assets/phase2_reconstruction_focus_v001/particle_05_p095007_original_decoded.png,0.13958364725112915,-0.17183689773082733,-0.13085076212882996,-0.18010859191417694,-0.5107981562614441,0.16602353751659393,0.23295997083187103,-0.2501750886440277,0.10081595182418823,-0.2630993723869324,0.24440555274486542,0.07115551829338074,0.37971705198287964,-0.08743610233068466,0.3477405309677124,-0.28134503960609436
6,F08/tot_toa__r0000000028.t3pa,5169,1219,512,0.4200164068908942,3399.54052734375,3.0,512,16,0.37277036905288696,docs/assets/phase2_reconstruction_focus_v001/particle_06_p005169_original_decoded.png,-0.017540819942951202,-0.05787545070052147,-0.030630402266979218,-0.12304168194532394,-0.6430814862251282,0.0512983575463295,0.2051147073507309,-0.3418741226196289,0.10509200394153595,-0.20193856954574585,0.25871339440345764,-0.1908806711435318,0.293960839509964,0.002199655631557107,-0.020560061559081078,-0.40385380387306213
7,F08/tot_toa__r0000000052.t3pa,54455,1196,512,0.4280936454849498,3290.0654296875,3.0,512,16,0.2530728578567505,docs/assets/phase2_reconstruction_focus_v001/particle_07_p054455_original_decoded.png,-0.017117945477366447,-0.15288281440734863,0.10678121447563171,-0.21299904584884644,-0.6117743253707886,0.103415846824646,0.1675526201725006,-0.3519057035446167,-0.010991053655743599,-0.117763452231884,0.24251164495944977,-0.07790617644786835,0.40964290499687195,0.027386656031012535,-0.07907053083181381,-0.3591783046722412
8,F08/tot_toa__r0000000027.t3pa,18919,1195,512,0.4284518828451882,3197.876953125,3.0,512,16,0.1887923777103424,docs/assets/phase2_reconstruction_focus_v001/particle_08_p018919_original_decoded.png,-0.3042382597923279,-0.13967777788639069,-0.36858513951301575,-0.15987525880336761,-0.3222774863243103,0.44230741262435913,0.5084843039512634,-0.2714647352695465,-0.013449639081954956,0.044016048312187195,0.003827083157375455,-0.05581336095929146,0.16466011106967926,-0.12239716202020645,-0.06936576962471008,-0.20642784237861633
9,F08/tot_toa__r0000000052.t3pa,47929,1134,512,0.4514991181657848,3392.32177734375,3.0,512,16,0.3902938961982727,docs/assets/phase2_reconstruction_focus_v001/particle_09_p047929_original_decoded.png,0.15453577041625977,-0.18348856270313263,-0.041664354503154755,-0.18763209879398346,-0.5401291251182556,0.07141008973121643,0.2234167456626892,-0.2660699784755707,0.1061038002371788,-0.23759542405605316,0.17370715737342834,0.009428471326828003,0.3191508948802948,-0.07561720162630081,0.3391706049442291,-0.40911731123924255
10,F08/tot_toa__r0000000028.t3pa,73903,1114,512,0.459605026929982,2864.392578125,3.0,512,16,0.39155519008636475,docs/assets/phase2_reconstruction_focus_v001/particle_10_p073903_original_decoded.png,-0.19988244771957397,-0.16855986416339874,-0.21771104633808136,-0.16861492395401,-0.4756549894809723,0.24333696067333221,0.423840194940567,-0.32433462142944336,0.1096653863787651,-0.043143898248672485,0.13323186337947845,0.025782598182559013,0.31959769129753113,-0.15984302759170532,0.018272116780281067,-0.35381045937538147
