rank,source_path,particle_id,n_hits,view_n_hits,sample_fraction,energy_sum,time_span,decoded_points,latent_dim,reconstruction_chamfer_xyte_feature,image,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63
1,F08/tot_toa__r0000000028.t3pa,8867,1523,512,0.3361785948785292,4008.833984375,2.0,512,64,0.18229800462722778,docs/assets/phase2_reconstruction_focus_z64_v001/particle_01_p008867_original_decoded.png,0.1468380093574524,-0.05947906896471977,0.07957032322883606,0.038127508014440536,0.21840685606002808,-0.1720084249973297,-0.1808663159608841,-0.13296860456466675,0.09494408965110779,0.017727168276906013,-0.014933515340089798,0.09425139427185059,-0.09787608683109283,-0.08074682950973511,-0.06385906040668488,0.16892464458942413,0.18511265516281128,-0.11627236753702164,-0.07552921026945114,0.027893636375665665,-0.13450665771961212,0.19862671196460724,0.25671350955963135,0.006489582359790802,0.16397494077682495,0.10486049205064774,-0.06391582638025284,-0.1307605654001236,-0.1495833694934845,-0.017488915473222733,-0.050016988068819046,0.032366614788770676,0.09758222848176956,0.13387157022953033,0.1908920407295227,0.18004685640335083,-0.1433788686990738,-0.12457869201898575,-0.1199159100651741,0.09627266973257065,0.11432027816772461,-0.11585727334022522,0.18815113604068756,0.01656351238489151,0.0817483514547348,-0.1772923469543457,-0.03521931916475296,0.2205619364976883,-0.09801647812128067,-0.14467565715312958,0.06424318253993988,0.15426066517829895,0.023685093969106674,0.07866071164608002,0.018097925931215286,0.11513486504554749,0.0061350236646831036,-0.15560463070869446,-0.010052822530269623,-0.14864704012870789,0.1753556728363037,0.08887473493814468,-0.05151703581213951,-0.19102546572685242
2,F08/tot_toa__r0000000028.t3pa,16244,1482,512,0.3454790823211875,3980.509765625,3.0,512,64,0.4647051990032196,docs/assets/phase2_reconstruction_focus_z64_v001/particle_02_p016244_original_decoded.png,0.022627150639891624,-0.00013921836216468364,0.003311917884275317,0.00185674661770463,0.17840732634067535,-0.17491227388381958,-0.25586196780204773,-0.217607781291008,-0.06654146313667297,-0.13781853020191193,-0.009609268978238106,0.03556445986032486,-0.1273517906665802,-0.14251671731472015,0.045947667211294174,0.15845127403736115,0.17189842462539673,0.02233101800084114,0.1266886442899704,-0.027263760566711426,-0.21277067065238953,0.07590309530496597,0.2030636966228485,0.17117835581302643,0.32472917437553406,0.03971761837601662,-0.07735210657119751,-0.22923478484153748,-0.12506750226020813,-0.03752191364765167,-0.038579534739255905,0.09600705653429031,0.08007196336984634,0.12703374028205872,0.04670469090342522,0.23249536752700806,-0.012923475354909897,-0.12678031623363495,-0.07471491396427155,-0.186159148812294,0.010192574001848698,-0.1579427570104599,0.19609127938747406,0.0248345248401165,0.08668863773345947,-0.01802138052880764,0.12057515978813171,0.13259077072143555,0.0976051539182663,-0.10477558523416519,0.08275887370109558,0.15052787959575653,0.12645812332630157,0.09199853241443634,-0.086296446621418,0.10979213565587997,-0.0064981719478964806,-0.11756550520658493,-0.04522079601883888,0.04161456972360611,0.11721348762512207,0.07023525983095169,0.05310968682169914,-0.039234377443790436
3,F08/tot_toa__r0000000052.t3pa,22538,1386,512,0.3694083694083694,3953.91552734375,3.0,512,64,0.489227831363678,docs/assets/phase2_reconstruction_focus_z64_v001/particle_03_p022538_original_decoded.png,0.12042080610990524,0.02660658210515976,-0.031231924891471863,0.006433336995542049,0.10412105917930603,-0.2680189907550812,-0.09723430126905441,-0.15217846632003784,-0.04865731671452522,-0.11894584447145462,-0.0414053238928318,0.011530608870089054,-0.20357699692249298,-0.11172205954790115,-0.025932390242815018,0.03848995268344879,0.19331753253936768,-0.076020747423172,0.09779597073793411,-0.010977109894156456,-0.17189212143421173,0.05056830868124962,0.25896620750427246,0.1091407760977745,0.2927033007144928,0.05857647582888603,0.03255777806043625,-0.17939020693302155,-0.16810542345046997,0.0355679988861084,-0.08788441866636276,0.11683253943920135,0.11067178100347519,0.05630725622177124,0.022569598630070686,0.1847689151763916,-0.08393537253141403,-0.04992704465985298,-0.05758039280772209,-0.2065386176109314,0.0202171728014946,-0.136980339884758,0.2794317305088043,0.032130010426044464,0.20246480405330658,-0.0193514171987772,0.13406233489513397,0.08458412438631058,0.021906843408942223,-0.022318540140986443,0.12512138485908508,0.2709828317165375,0.12359654903411865,0.0568598210811615,-0.009341774508357048,0.07296920567750931,-0.0062026698142290115,-0.12414886802434921,-0.1044388934969902,-0.05616482347249985,0.1956033706665039,0.054789818823337555,0.020833590999245644,-0.03643857687711716
4,F08/tot_toa__r0000000028.t3pa,60858,1344,512,0.3809523809523809,3758.3388671875,3.0,512,64,0.37071293592453003,docs/assets/phase2_reconstruction_focus_z64_v001/particle_04_p060858_original_decoded.png,0.15934889018535614,0.05419941991567612,-0.04504431039094925,0.006349236238747835,0.05377517268061638,-0.21721415221691132,-0.1718416064977646,-0.125863179564476,-0.025792382657527924,-0.07837380468845367,-0.06902333348989487,0.07916659116744995,-0.2072005718946457,-0.02590320073068142,-0.08320940285921097,0.012121472507715225,0.23374012112617493,-0.07395696640014648,0.029629692435264587,-0.11778948456048965,-0.2362891435623169,0.0592944398522377,0.24997302889823914,0.10607876628637314,0.26383543014526367,0.023208897560834885,0.0053722430020570755,-0.11452262103557587,-0.21646535396575928,0.07819957286119461,-0.07417134940624237,0.043553829193115234,0.17723974585533142,0.08517962694168091,0.1657729297876358,0.1976296305656433,-0.10312288999557495,-0.08864598721265793,-0.017645372077822685,-0.17969895899295807,0.04336914047598839,-0.1775762140750885,0.227068230509758,0.005626304540783167,0.15705756843090057,-0.1032789796590805,0.02250015176832676,0.14103654026985168,0.022278448566794395,-0.047547634690999985,-0.02463315799832344,0.24703378975391388,0.08143672347068787,0.07339838892221451,0.006879730615764856,-0.0158601775765419,-0.008440006524324417,-0.010665779002010822,-0.005825204309076071,-0.08259577304124832,0.20104224979877472,0.0895213931798935,-0.09276410192251205,-0.1273186355829239
5,F08/tot_toa__r0000000052.t3pa,95007,1233,512,0.4152473641524736,3693.748291015625,3.0,512,64,0.32385119795799255,docs/assets/phase2_reconstruction_focus_z64_v001/particle_05_p095007_original_decoded.png,0.08655903488397598,-0.02957281470298767,0.03149738535284996,0.016788886860013008,0.23360730707645416,-0.19112230837345123,-0.22450269758701324,-0.24089296162128448,-0.13024236261844635,-0.1405513435602188,0.029942438006401062,-0.0021497562993317842,-0.10936799645423889,-0.11266420781612396,0.08299313485622406,0.1521541178226471,0.16776005923748016,-0.0427505299448967,0.09051814675331116,0.040909603238105774,-0.14510248601436615,0.07182081788778305,0.2490292638540268,0.12066472321748734,0.27369147539138794,0.10576707124710083,-0.018343565985560417,-0.17454662919044495,-0.050785135477781296,-0.09783942252397537,-0.044827912002801895,0.058610834181308746,0.018157480284571648,0.15164010226726532,0.06594933569431305,0.2112657129764557,0.0007362155593000352,-0.06811127811670303,-0.09924029558897018,-0.16537821292877197,0.018961558118462563,-0.10789556801319122,0.23314613103866577,0.059890005737543106,0.11147210747003555,-0.017009705305099487,0.18851734697818756,0.14518901705741882,0.03125657141208649,-0.03578939288854599,0.06838702410459518,0.1680525690317154,0.12221219390630722,0.1480514407157898,-0.03416028618812561,0.12982404232025146,0.015416881069540977,-0.1885078400373459,-0.029950657859444618,0.02556419000029564,0.12081579864025116,0.10201481729745865,0.12478535622358322,-0.0045754387974739075
6,F08/tot_toa__r0000000028.t3pa,5169,1219,512,0.4200164068908942,3399.54052734375,3.0,512,64,0.26669520139694214,docs/assets/phase2_reconstruction_focus_z64_v001/particle_06_p005169_original_decoded.png,0.007366420701146126,-0.00016009120736271143,0.03783922269940376,-0.05334245041012764,0.1415776163339615,-0.24765045940876007,-0.15945787727832794,-0.14961005747318268,-0.003024641890078783,0.028559328988194466,-0.10037845373153687,0.0028783304151147604,-0.18000639975070953,-0.14434008300304413,-0.12411314249038696,0.07436591386795044,0.1175060123205185,-0.058018919080495834,0.07130355387926102,-0.05451923608779907,-0.10922053456306458,0.01256928313523531,0.23205801844596863,0.08368515968322754,0.2732008397579193,0.03946705907583237,-0.00968983955681324,-0.2917584478855133,-0.24974852800369263,0.15501278638839722,0.02869325876235962,0.0831339955329895,0.22056269645690918,0.09067290276288986,0.0434345006942749,0.18799923360347748,-0.003444159869104624,-0.0956137403845787,0.09137153625488281,-0.14145603775978088,0.049550581723451614,-0.1545843482017517,0.11700378358364105,-0.056576211005449295,0.12715037167072296,-0.0007566389977000654,0.049300964921712875,0.045937392860651016,-0.02259468287229538,-0.1160522922873497,0.1205369234085083,0.2660013437271118,0.130812868475914,-0.09695190191268921,0.07537057250738144,-0.02455122582614422,-0.03999758139252663,-0.08754847198724747,-0.14038017392158508,-0.0472649447619915,0.21097064018249512,-0.0664578452706337,-0.10645937919616699,-0.09270564466714859
7,F08/tot_toa__r0000000052.t3pa,54455,1196,512,0.4280936454849498,3290.0654296875,3.0,512,64,0.18914833664894104,docs/assets/phase2_reconstruction_focus_z64_v001/particle_07_p054455_original_decoded.png,-0.05625925958156586,-0.05417214706540108,0.03731434792280197,-0.0669427290558815,0.13682934641838074,-0.2340928167104721,-0.14888495206832886,-0.1449464112520218,0.0009743321570567787,0.03910043090581894,-0.09254416823387146,0.09088636189699173,-0.21648280322551727,-0.13910971581935883,-0.025693031027913094,0.09547143429517746,0.08411554247140884,0.017535023391246796,0.10688584297895432,-0.08253040909767151,-0.14959008991718292,0.024180833250284195,0.1535673439502716,0.12369264662265778,0.3090638220310211,0.018695082515478134,-0.0735773965716362,-0.2764052152633667,-0.2205667495727539,0.07656507939100266,0.061489593237638474,0.170078843832016,0.24835994839668274,0.05932817608118057,0.05599769204854965,0.25290432572364807,-0.019016539677977562,-0.13076035678386688,-0.012620918452739716,-0.13747474551200867,0.027265336364507675,-0.16916505992412567,0.1386452168226242,-0.05626579374074936,0.09265748411417007,0.0060327728278934956,0.014467962086200714,0.00011929158063139766,0.08378343284130096,-0.12602382898330688,0.11112430691719055,0.23495851457118988,0.13480976223945618,-0.11906071752309799,0.03707798942923546,0.04578106850385666,-0.07881038635969162,-0.06621522456407547,-0.10647415369749069,0.022600440308451653,0.16270245611667633,-0.0660775676369667,-0.07271002233028412,-0.10186048597097397
8,F08/tot_toa__r0000000027.t3pa,18919,1195,512,0.4284518828451882,3197.876953125,3.0,512,64,0.1878085732460022,docs/assets/phase2_reconstruction_focus_z64_v001/particle_08_p018919_original_decoded.png,0.20329415798187256,-0.06357783824205399,0.016866935417056084,-6.601265340577811e-06,0.034008074551820755,-0.19573438167572021,-0.023003317415714264,-0.08305703103542328,-0.0729357972741127,0.0800158753991127,-0.10942370444536209,0.1316455602645874,-0.19707903265953064,0.05980885401368141,-0.06344172358512878,0.03240423649549484,0.13482089340686798,-0.13679316639900208,-0.10294517874717712,-0.04993966966867447,-0.13933810591697693,0.07647422701120377,0.22882066667079926,-0.06233392655849457,0.15889810025691986,0.12301892787218094,-0.011844156309962273,0.029201192781329155,-0.21560049057006836,0.036458197981119156,-0.04062926024198532,0.032383114099502563,0.21646791696548462,0.11260496824979782,0.2377976030111313,0.06855767965316772,-0.1276857703924179,-0.0748140960931778,-0.10308992117643356,0.034031953662633896,0.0015895465621724725,-0.16480934619903564,0.1897410899400711,0.125425323843956,0.18850655853748322,-0.11048496514558792,0.015406440943479538,0.13231661915779114,-0.1693974733352661,0.03648729249835014,-0.1344863623380661,0.1766461282968521,0.022170213982462883,0.06443826109170914,0.11786358803510666,-0.02011391520500183,-0.031958699226379395,-0.014669452793896198,0.1934620440006256,-0.16282983124256134,0.2521118223667145,0.20494186878204346,-0.033319346606731415,-0.16306543350219727
9,F08/tot_toa__r0000000052.t3pa,47929,1134,512,0.4514991181657848,3392.32177734375,3.0,512,64,0.4453181028366089,docs/assets/phase2_reconstruction_focus_z64_v001/particle_09_p047929_original_decoded.png,0.015485956333577633,0.0012050995137542486,0.0177590474486351,-0.03562052547931671,0.21896623075008392,-0.18541385233402252,-0.3277001976966858,-0.2226467877626419,-0.11733134835958481,-0.1703537106513977,0.010924573056399822,0.015509511344134808,-0.0522628016769886,-0.09725368767976761,0.03911874070763588,0.21094250679016113,0.1537671983242035,0.02242482826113701,0.0924101248383522,0.12249502539634705,-0.16550098359584808,0.0921124592423439,0.18661394715309143,0.13547039031982422,0.24748633801937103,0.03938760608434677,-0.05644926801323891,-0.21275803446769714,-0.0824316218495369,-0.07146207988262177,-0.03286575525999069,0.031019430607557297,0.03457414358854294,0.15391427278518677,0.028326645493507385,0.21427257359027863,0.0030838865786790848,-0.14133000373840332,-0.0712236538529396,-0.20078665018081665,0.02743157185614109,-0.12350524961948395,0.20588286221027374,0.02858768217265606,0.04643012210726738,0.033916790038347244,0.1489870846271515,0.11971993744373322,0.09377796202898026,-0.023542549461126328,0.11442641168832779,0.1403370052576065,0.11978641152381897,0.15031488239765167,-0.09234141558408737,0.1263955682516098,0.07419515401124954,-0.19223658740520477,-0.04915874823927879,0.05077618360519409,0.03890154883265495,0.04967571794986725,0.052618011832237244,-0.04218712076544762
10,F08/tot_toa__r0000000028.t3pa,73903,1114,512,0.459605026929982,2864.392578125,3.0,512,64,0.16922259330749512,docs/assets/phase2_reconstruction_focus_z64_v001/particle_10_p073903_original_decoded.png,0.15132619440555573,-0.016755783930420876,0.04690946266055107,0.04060565307736397,0.1698528528213501,-0.12762190401554108,-0.16091670095920563,-0.15454529225826263,-0.07373834401369095,0.03356954827904701,-0.050715357065200806,0.04699401929974556,-0.23748688399791718,-0.0313238799571991,-0.07845436036586761,-0.01403997652232647,0.1941949725151062,-0.10780735313892365,0.009342328645288944,-0.16196028888225555,-0.1359977424144745,0.03577633947134018,0.3020929992198944,0.08701261132955551,0.23104317486286163,0.07125018537044525,-0.047666724771261215,-0.09530573338270187,-0.1904139369726181,0.06289154291152954,-0.035108212381601334,0.045186255127191544,0.17069217562675476,0.1856711208820343,0.19432850182056427,0.1813911497592926,-0.030958401039242744,-0.06020253896713257,0.005992095451802015,-0.04180527105927467,0.0386982336640358,-0.1772719919681549,0.1398829072713852,0.03853201866149902,0.16664564609527588,-0.15242864191532135,0.0385250598192215,0.15957161784172058,-0.09629154950380325,-0.031051861122250557,-0.0918198823928833,0.22564850747585297,0.0936819463968277,0.03245766460895538,0.08179646730422974,-0.05164509266614914,-0.07896895706653595,0.01232280395925045,0.08056723326444626,-0.03710329905152321,0.29941707849502563,0.1151278018951416,-0.019978752359747887,-0.12851299345493317
