rank,z_start,z_end,start_s,span_ns,plot_time_bin_factor,plotted_bin_ns,hits,occupied_voxels,particles,noise_fraction,image
1,5447500800,5447526400,8.51172,40000.0,100,156.25,237,237,9,0.02109704641350211,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_01_z5447500800_5447526400_cubes.png
2,8350464000,8350489600,13.047600000000001,40000.0,100,156.25,60,60,8,0.05,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_02_z8350464000_8350489600_cubes.png
3,5449497600,5449523200,8.514840000000001,40000.0,100,156.25,32,32,8,0.1875,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_03_z5449497600_5449523200_cubes.png
4,5084390400,5084416000,7.9443600000000005,40000.0,100,156.25,313,313,7,0.025559105431309903,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_04_z5084390400_5084416000_cubes.png
5,5449625600,5449651200,8.51504,40000.0,100,156.25,289,289,7,0.03806228373702422,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_05_z5449625600_5449651200_cubes.png
6,11295513600,11295539200,17.649240000000002,40000.0,100,156.25,228,228,7,0.021929824561403508,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_06_z11295513600_11295539200_cubes.png
7,3847065600,3847091200,6.01104,40000.0,100,156.25,205,205,7,0.00975609756097561,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_07_z3847065600_3847091200_cubes.png
8,3854028800,3854054400,6.021920000000001,40000.0,100,156.25,114,114,7,0.05263157894736842,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_08_z3854028800_3854054400_cubes.png
9,5279744000,5279769600,8.249600000000001,40000.0,100,156.25,104,104,7,0.0673076923076923,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_09_z5279744000_5279769600_cubes.png
10,6348236800,6348262400,9.919120000000001,40000.0,100,156.25,96,96,7,0.08333333333333333,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_10_z6348236800_6348262400_cubes.png
11,3854284800,3854310400,6.022320000000001,40000.0,100,156.25,92,92,7,0.03260869565217391,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_11_z3854284800_3854310400_cubes.png
12,10740864000,10740889600,16.782600000000002,40000.0,100,156.25,91,91,7,0.04395604395604396,docs/assets/native_grid_dbscan_aligned_time_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_12_z10740864000_10740889600_cubes.png
