rank,z_start,z_end,start_s,span_ns,plot_time_bin_factor,plotted_bin_ns,hits,occupied_voxels,particles,noise_fraction,image
1,11292288000,11292313600,17.6442,40000.0,100,156.25,234,234,5,0.008547008547008548,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_01_z11292288000_11292313600_cubes.png
2,11295513600,11295539200,17.649240000000002,40000.0,100,156.25,228,228,5,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_02_z11295513600_11295539200_cubes.png
3,3846784000,3846809600,6.0106,40000.0,100,156.25,208,208,5,0.019230769230769232,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_03_z3846784000_3846809600_cubes.png
4,3846528000,3846553600,6.0102,40000.0,100,156.25,110,110,5,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_04_z3846528000_3846553600_cubes.png
5,11286604800,11286630400,17.63532,40000.0,100,156.25,236,236,4,0.00423728813559322,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_05_z11286604800_11286630400_cubes.png
6,3847065600,3847091200,6.01104,40000.0,100,156.25,205,205,4,0.004878048780487805,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_06_z3847065600_3847091200_cubes.png
7,8919756800,8919782400,13.93712,40000.0,100,156.25,190,190,4,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_07_z8919756800_8919782400_cubes.png
8,5072640000,5072665600,7.926,40000.0,100,156.25,122,122,4,0.00819672131147541,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_08_z5072640000_5072665600_cubes.png
9,3853900800,3853926400,6.02172,40000.0,100,156.25,120,120,4,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_09_z3853900800_3853926400_cubes.png
10,5279744000,5279769600,8.249600000000001,40000.0,100,156.25,104,104,4,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_10_z5279744000_5279769600_cubes.png
11,4917580800,4917606400,7.68372,40000.0,100,156.25,85,85,4,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_11_z4917580800_4917606400_cubes.png
12,7751603200,7751628800,12.111880000000001,40000.0,100,156.25,80,80,4,0.0,docs/assets/native_grid_dbscan_aligned_time_eps5_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_12_z7751603200_7751628800_cubes.png
