rank,z_start,z_end,start_s,span_ns,plot_time_bin_factor,plotted_bin_ns,hits,occupied_voxels,particles,noise_fraction,image
1,7014630400,7014656000,10.960360000000001,40000.0,100,156.25,955,955,120,0.3706806282722513,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_01_z7014630400_7014656000_cubes.png
2,5084390400,5084416000,7.9443600000000005,40000.0,100,156.25,313,313,49,0.3961661341853035,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_02_z5084390400_5084416000_cubes.png
3,3836620800,3836646400,5.99472,40000.0,100,156.25,277,277,47,0.34657039711191334,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_03_z3836620800_3836646400_cubes.png
4,10665625600,10665651200,16.66504,40000.0,100,156.25,394,394,43,0.36548223350253806,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_04_z10665625600_10665651200_cubes.png
5,4166476800,4166502400,6.510120000000001,40000.0,100,156.25,291,291,43,0.3642611683848797,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_05_z4166476800_4166502400_cubes.png
6,4177305600,4177331200,6.52704,40000.0,100,156.25,375,375,42,0.216,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_06_z4177305600_4177331200_cubes.png
7,4435404800,4435430400,6.93032,40000.0,100,156.25,367,367,42,0.26430517711171664,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_07_z4435404800_4435430400_cubes.png
8,5449625600,5449651200,8.51504,40000.0,100,156.25,289,289,41,0.4083044982698962,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_08_z5449625600_5449651200_cubes.png
9,3856332800,3856358400,6.02552,40000.0,100,156.25,277,277,41,0.41155234657039713,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_09_z3856332800_3856358400_cubes.png
10,5282150400,5282176000,8.25336,40000.0,100,156.25,236,236,41,0.3347457627118644,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_10_z5282150400_5282176000_cubes.png
11,3846784000,3846809600,6.0106,40000.0,100,156.25,208,208,41,0.4423076923076923,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_11_z3846784000_3846809600_cubes.png
12,7559680000,7559705600,11.812000000000001,40000.0,100,156.25,354,354,40,0.20903954802259886,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_100x_time_fixed_z/whole_file_window_12_z7559680000_7559705600_cubes.png
