source_path,shard,particle_id,n_hits,rank_in_file,time_span_ticks,time_span_ns,x_min,x_max,y_min,y_max,energy_sum,start,end,rank,image,face_components_fine,corner_components_fine,occupied_voxels,z_span_bins,z_span_ns
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,26944,403,1,0.875,21.875,130,181,91,107,1146.11767578125,108306,108709,1,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_01_tot_toa__r0000000028_p26944_cubes.png,296,1,403,15,23.4375
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,20416,353,2,0.875,21.875,52,78,0,22,744.1448364257812,82372,82725,2,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_02_tot_toa__r0000000028_p20416_cubes.png,237,1,353,15,23.4375
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,163637,298,1,0.6875,17.1875,86,111,87,110,688.7030639648438,644172,644470,3,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_03_tot_toa__r0000000052_p163637_cubes.png,206,1,298,12,18.75
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,12688,277,3,0.8125,20.3125,2,39,66,83,759.28662109375,49786,50063,4,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_04_tot_toa__r0000000028_p12688_cubes.png,202,1,277,14,21.875
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,162344,270,4,0.75,18.75,188,212,96,118,630.6251220703125,642745,643015,5,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_05_tot_toa__r0000000028_p162344_cubes.png,195,1,270,13,20.3125
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,148453,265,5,1.0,25.0,30,51,141,165,651.640380859375,587505,587770,6,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_06_tot_toa__r0000000028_p148453_cubes.png,204,1,265,17,26.5625
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,245297,263,6,0.75,18.75,42,63,94,116,647.877197265625,967439,967702,7,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_07_tot_toa__r0000000028_p245297_cubes.png,178,1,263,13,20.3125
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,261470,262,7,0.5625,14.0625,86,127,21,35,776.6934204101562,1034852,1035114,8,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_08_tot_toa__r0000000028_p261470_cubes.png,189,1,262,10,15.625
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,259800,258,8,0.8125,20.3125,174,199,43,65,623.4708862304688,1027943,1028201,9,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_09_tot_toa__r0000000028_p259800_cubes.png,188,1,258,14,21.875
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,160128,257,9,1.0625,26.5625,22,48,232,255,627.7503662109375,633892,634149,10,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_10_tot_toa__r0000000028_p160128_cubes.png,176,1,257,18,28.125
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,278678,256,2,0.8125,20.3125,96,119,51,73,624.40087890625,1096587,1096843,11,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_11_tot_toa__r0000000052_p278678_cubes.png,176,1,256,14,21.875
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,183088,250,3,0.875,21.875,5,28,178,205,742.5723876953125,721640,721890,12,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_12_tot_toa__r0000000052_p183088_cubes.png,168,1,250,15,23.4375
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,25847,248,4,0.625,15.625,11,72,65,73,805.0636596679688,99502,99750,13,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_13_tot_toa__r0000000052_p25847_cubes.png,166,1,248,11,17.1875
F08/tot_toa__r0000000028.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000028.particles.npz,113963,246,10,0.75,18.75,17,39,180,202,632.28369140625,448377,448623,14,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_14_tot_toa__r0000000028_p113963_cubes.png,181,1,246,13,20.3125
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,196028,233,5,0.6875,17.1875,48,67,96,117,587.976806640625,772431,772664,15,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_15_tot_toa__r0000000052_p196028_cubes.png,148,1,233,12,18.75
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,234675,228,6,0.8125,20.3125,230,251,208,225,578.194580078125,920895,921123,16,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_16_tot_toa__r0000000052_p234675_cubes.png,162,1,228,14,21.875
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,56021,226,7,0.5625,14.0625,60,82,0,22,542.2318725585938,220435,220661,17,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_17_tot_toa__r0000000052_p56021_cubes.png,152,1,226,10,15.625
F08/tot_toa__r0000000052.t3pa,local_data/processed/native_grid_dbscan_fine_sample_v001/particles_fine_voxel_like/F08/tot_toa__r0000000052.particles.npz,165086,217,8,0.875,21.875,62,85,107,127,532.1632690429688,650771,650988,18,docs/assets/native_grid_dbscan_fine_voxel_like_sample_v001/largest_18_tot_toa__r0000000052_p165086_cubes.png,144,1,217,15,23.4375
