connectivity,rank,component,hits,fraction,t_min,t_max,t_span,x_min,x_max,y_min,y_max,energy_sum
face,1,13,122,0.23874755381604695,105766263.0,105766263.0,0.0,97,128,72,78,390.8712158203125
face,2,27,77,0.1506849315068493,105766262.0,105766262.0,0.0,2,32,69,72,267.2021179199219
face,3,8,61,0.11937377690802348,105766263.0,105766263.0,0.0,65,84,70,74,198.0978546142578
face,4,5,49,0.0958904109589041,105766262.0,105766262.0,0.0,49,65,70,73,163.61123657226562
face,5,9,22,0.043052837573385516,105766262.0,105766262.0,0.0,90,97,71,75,72.7786865234375
face,6,39,15,0.029354207436399216,105766262.0,105766262.0,0.0,85,90,71,74,53.80009078979492
face,7,22,10,0.019569471624266144,105766264.0,105766264.0,0.0,133,136,75,79,30.689502716064453
face,8,34,7,0.0136986301369863,105766262.0,105766262.0,0.0,43,46,70,72,25.40461540222168
face,9,32,7,0.0136986301369863,105766262.0,105766262.0,0.0,37,40,70,72,25.984777450561523
face,10,30,6,0.011741682974559686,105766263.0,105766263.0,0.0,34,36,69,71,20.328086853027344
face,11,48,6,0.011741682974559686,105766263.0,105766263.0,0.0,131,133,75,77,20.64078712463379
face,12,1,5,0.009784735812133072,105766263.0,105766263.0,0.0,42,43,69,72,16.16616439819336
face,13,71,5,0.009784735812133072,105766262.0,105766262.0,0.0,126,127,73,76,15.691802978515625
face,14,23,4,0.007827788649706457,105766263.0,105766263.0,0.0,137,138,76,78,14.374897956848145
face,15,58,4,0.007827788649706457,105766263.0,105766263.0,0.0,88,90,73,74,15.443032264709473
face,16,63,4,0.007827788649706457,105766263.0,105766263.0,0.0,135,136,76,77,15.886678695678711
face,17,54,4,0.007827788649706457,105766262.0,105766262.0,0.0,47,49,70,71,15.045684814453125
face,18,12,4,0.007827788649706457,105766263.0,105766263.0,0.0,94,96,71,72,5.886104106903076
face,19,25,4,0.007827788649706457,105766261.0,105766261.0,0.0,0,1,70,72,13.759206771850586
face,20,68,3,0.005870841487279843,105766262.0,105766262.0,0.0,117,118,74,75,10.379721641540527
edge,1,0,511,1.0,105766261.0,105766264.0,3.0,0,140,69,79,1652.9659423828125
corner,1,0,511,1.0,105766261.0,105766264.0,3.0,0,140,69,79,1652.9659423828125
