rank,cache_index,source_path,particle_id,view_id,source_n_hits,view_n_hits,q_theta,theta_xy,time_span,energy_sum,neural_conv_z256_energy_path_rel_l2,pca_z384_energy_path_rel_l2,image
1,9894,F08/tot_toa__r0000000028.t3pa,4365,2,1221,512,0.9986537665189408,3.078608949186482,2.4375,3400.9267578125,0.40889549255371094,0.10221286863088608,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_01_p4365.png
2,20184,F08/tot_toa__r0000000037.t3pa,12128,3,1088,512,0.9929477154492742,0.0587173194635144,2.0625,2931.2587890625,0.38424912095069885,0.09879041463136673,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_02_p12128.png
3,10418,F08/tot_toa__r0000000028.t3pa,40181,1,964,512,0.9985441938124572,3.082358359244392,17.5625,2965.18408203125,0.3716791272163391,0.09177117049694061,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_03_p40181.png
4,21828,F08/tot_toa__r0000000042.t3pa,29993,0,911,512,0.039093430592848,-2.5850698563113523,8.375,2349.93212890625,0.4827999472618103,0.07628928124904633,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_04_p29993.png
5,23011,F08/tot_toa__r0000000037.t3pa,6283,1,646,512,0.0124709596368076,-1.1699846451225495,2.0,1304.6546630859375,0.4825994670391083,0.09604330360889435,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_05_p6283.png
6,19554,F08/tot_toa__r0000000042.t3pa,25454,0,583,512,0.9613444730658848,-2.939584159041768,4.0625,1824.1947021484373,0.28877538442611694,0.09338529407978058,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_06_p25454.png
7,19059,F08/tot_toa__r0000000028.t3pa,16903,0,74,74,0.4598261575644989,1.923872765868327,3.3125,211.6396331787109,0.2940644919872284,0.0173184871673584,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_07_p16903.png
8,23248,F08/tot_toa__r0000000028.t3pa,37839,0,51,51,0.7840468519866154,0.0515721785953262,3.25,170.86956787109375,0.2539428472518921,0.012113623321056366,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_08_p37839.png
9,19647,F08/tot_toa__r0000000028.t3pa,72151,0,60,60,0.8372373935775845,0.2019398920652087,3.3125,207.9700927734375,0.2482924908399582,0.010727988556027412,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_09_p72151.png
10,10022,F08/tot_toa__r0000000042.t3pa,12863,0,64,64,0.875054191085622,0.236588647607653,4.6875,209.24838256835935,0.24459275603294373,0.013421205803751945,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_10_p12863.png
11,12264,F08/tot_toa__r0000000028.t3pa,70393,0,125,125,0.8686270295559663,3.023861470467567,3.0625,405.8768005371094,0.36503082513809204,0.08944018185138702,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_11_p70393.png
12,2381,F08/tot_toa__r0000000028.t3pa,63131,0,107,107,0.4004844699823898,1.2512399111615164,6.875,248.9151611328125,0.31233423948287964,0.03349793702363968,docs/assets/phase2_pose_path_ae_eps5/real_50hit_gallery/real_50hit_12_p63131.png
