rank,source_path,particle_id,n_hits,kept_fraction,kept_energy_fraction,clean_nonzero_pixels,corrupted_nonzero_pixels,image
1,F08/tot_toa__r0000000027.t3pa,9951,10,1.0,1.0,10,101,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_01.png
2,data I05/sync__I05-W0044_r002.t3pa,166544,10,1.0,1.0,10,114,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_02.png
3,data I05/sync__I05-W0044_r001.t3pa,196217,10,1.0,1.0,10,107,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_03.png
4,data I05/sync__I05-W0044_r000.t3pa,449138,10,1.0,1.0,10,97,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_04.png
5,data M07/sync__M07-W0044_r001.t3pa,329658,10,1.0,1.0,10,115,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_05.png
6,data I05/sync__I05-W0044_r000.t3pa,403309,10,1.0,1.0,10,107,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_06.png
7,data M07/sync__M07-W0044_r001.t3pa,273676,10,1.0,1.0,10,105,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_07.png
8,F08/tot_toa__r0000000048.t3pa,2852,10,1.0,1.0,10,100,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_08.png
9,data I05/sync__I05-W0044_r001.t3pa,412376,10,1.0,1.0,10,103,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_09.png
10,data I05/sync__I05-W0044_r000.t3pa,95255,10,1.0,1.0,10,120,docs/assets/phase2_voxel_autoencoder/ten_hit_particle_gallery/voxel_training_example_10.png
