rank,source_path,particle_id,n_hits,view_n_hits,sample_fraction,energy_sum,time_span,decoded_points,latent_dim,reconstruction_chamfer_xyte_feature,image,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07
1,F08/tot_toa__r0000000028.t3pa,8867,1523,512,0.3361785948785292,4008.833984375,2.0,64,8,0.5606436729431152,docs/assets/phase2_voxel_reconstruction_snapshots/particle_01_p008867_original_decoded.png,0.42196735739707947,-0.35361433029174805,0.38610678911209106,-0.3040652871131897,-0.1488466113805771,0.08424845337867737,0.33967915177345276,-0.5574325919151306
2,F08/tot_toa__r0000000028.t3pa,16244,1482,512,0.3454790823211875,3980.509765625,3.0,64,8,0.45412391424179077,docs/assets/phase2_voxel_reconstruction_snapshots/particle_02_p016244_original_decoded.png,0.4148690104484558,-0.24451740086078644,0.36530229449272156,-0.04766183719038963,-0.1370023638010025,-0.0874093696475029,0.44293081760406494,-0.6401404738426208
3,F08/tot_toa__r0000000052.t3pa,22538,1386,512,0.3694083694083694,3953.91552734375,3.0,64,8,0.4475676715373993,docs/assets/phase2_voxel_reconstruction_snapshots/particle_03_p022538_original_decoded.png,0.41872352361679077,-0.25828123092651367,0.3871314525604248,-0.10837727785110474,-0.1125691682100296,-0.042117174714803696,0.41313454508781433,-0.6412639021873474
4,F08/tot_toa__r0000000028.t3pa,60858,1344,512,0.3809523809523809,3758.3388671875,3.0,64,8,0.37361183762550354,docs/assets/phase2_voxel_reconstruction_snapshots/particle_04_p060858_original_decoded.png,0.43666791915893555,-0.2780430316925049,0.34281760454177856,-0.21800550818443298,-0.11818969994783401,-0.03536972776055336,0.43293267488479614,-0.6035828590393066
5,F08/tot_toa__r0000000052.t3pa,95007,1233,512,0.4152473641524736,3693.748291015625,3.0,64,8,0.43571969866752625,docs/assets/phase2_voxel_reconstruction_snapshots/particle_05_p095007_original_decoded.png,0.41119682788848877,-0.27919915318489075,0.37751245498657227,-0.18043136596679688,-0.07770054042339325,-0.0011799342464655638,0.4534810781478882,-0.6051529049873352
6,F08/tot_toa__r0000000028.t3pa,5169,1219,512,0.4200164068908942,3399.54052734375,3.0,64,8,0.6351348757743835,docs/assets/phase2_voxel_reconstruction_snapshots/particle_06_p005169_original_decoded.png,0.4179418981075287,-0.24391767382621765,0.37350186705589294,-0.05818198248744011,-0.19536232948303223,-0.05166922137141228,0.3577617108821869,-0.6738770604133606
7,F08/tot_toa__r0000000052.t3pa,54455,1196,512,0.4280936454849498,3290.0654296875,3.0,64,8,0.49620521068573,docs/assets/phase2_voxel_reconstruction_snapshots/particle_07_p054455_original_decoded.png,0.38396868109703064,-0.18099500238895416,0.3380001187324524,0.07811535894870758,-0.2411031872034073,-0.04459556192159653,0.3357955813407898,-0.7256615161895752
8,F08/tot_toa__r0000000027.t3pa,18919,1195,512,0.4284518828451882,3197.876953125,3.0,64,8,0.35430675745010376,docs/assets/phase2_voxel_reconstruction_snapshots/particle_08_p018919_original_decoded.png,0.396474689245224,-0.27720245718955994,0.25092044472694397,-0.510481595993042,-0.04819818213582039,0.21131417155265808,0.3894953727722168,-0.49369096755981445
9,F08/tot_toa__r0000000052.t3pa,47929,1134,512,0.4514991181657848,3392.32177734375,3.0,64,8,0.4724624752998352,docs/assets/phase2_voxel_reconstruction_snapshots/particle_09_p047929_original_decoded.png,0.4013965427875519,-0.26830315589904785,0.4016171991825104,-0.12569572031497955,-0.10047068446874619,-0.04802149161696434,0.44105929136276245,-0.6187605857849121
10,F08/tot_toa__r0000000028.t3pa,73903,1114,512,0.459605026929982,2864.392578125,3.0,64,8,0.4191964566707611,docs/assets/phase2_voxel_reconstruction_snapshots/particle_10_p073903_original_decoded.png,0.43033456802368164,-0.28566086292266846,0.29915526509284973,-0.3029869496822357,-0.12689951062202454,0.0139314541593194,0.41787198185920715,-0.6008332371711731
